,avg_kd_diff,avg_sig_str_landed_diff,avg_sig_str_att_diff,avg_str_landed_diff,avg_str_att_diff,avg_td_comp_diff,avg_td_att_diff,avg_sub_att_diff,avg_ctrl_time_diff,win_rate_diff,finish_rate_diff,total_fights_diff
413,0.16666666666666666,-5.833333333333334,-20.833333333333336,2.666666666666666,-11.166666666666668,1.0,1.5,1.8333333333333333,111.33333333333333,-0.16666666666666663,-0.33333333333333337,3
414,0.0,0.6285714285714281,8.542857142857141,2.7142857142857153,7.399999999999999,-0.02857142857142858,-0.05714285714285716,0.4571428571428571,-0.05714285714285716,0.3142857142857143,0.3142857142857143,2
417,0.0,-5.5,-36.0,-23.5,-54.0,1.5,3.0,2.5,-13.0,-0.5,-0.5,0
420,0.0,29.666666666666668,42.75,64.22222222222221,78.11111111111111,2.25,3.6666666666666665,0.4166666666666667,273.1666666666667,-0.02777777777777779,-0.16666666666666663,3
422,-0.07142857142857145,11.0,17.285714285714285,13.42857142857143,20.357142857142854,-0.8571428571428572,-1.3571428571428572,-1.1428571428571428,25.5,-0.2857142857142857,-0.07142857142857145,5
424,0.0,33.833333333333336,59.666666666666664,95.0,122.5,1.0,2.0,4.0,194.16666666666666,-0.16666666666666663,-0.16666666666666663,-1
425,0.0,3.1999999999999993,-23.666666666666664,2.0,-24.766666666666673,0.5333333333333333,0.8999999999999999,0.5666666666666667,124.1,0.13333333333333341,0.16666666666666669,4
426,1.0,8.0,1.0,2.5,-6.5,-0.5,-2.5,0.0,2.5,0.5,1.0,0
427,0.0,4.5,11.0,-35.5,-30.0,-0.5,-2.0,-1.5,48.0,0.0,0.5,0
428,0.0,22.363636363636363,32.81818181818182,35.36363636363637,44.272727272727266,3.1818181818181817,2.045454545454546,-1.4545454545454546,395.40909090909093,-0.18181818181818177,-0.13636363636363635,9
434,0.0,-4.833333333333334,-5.25,-6.25,-4.75,3.5,6.5,1.1666666666666667,180.16666666666666,0.16666666666666663,-0.16666666666666669,-1
435,0.6666666666666666,10.333333333333332,16.083333333333336,13.583333333333332,19.666666666666664,-0.08333333333333334,-0.6666666666666667,0.08333333333333331,5.25,-0.08333333333333337,-0.08333333333333337,2
437,0.07142857142857142,24.9,41.62857142857143,73.54285714285714,92.67142857142856,2.4142857142857146,3.542857142857143,0.014285714285714263,357.51428571428573,0.014285714285714346,-0.17142857142857143,4
438,0.0,24.818181818181817,34.63636363636363,37.81818181818182,48.18181818181818,1.0909090909090908,2.1818181818181817,0.9090909090909091,154.1818181818182,-0.18181818181818177,-0.4545454545454546,10
439,1.0,25.708333333333332,34.208333333333336,26.5,34.0,1.0,0.625,0.3333333333333333,231.125,0.25,0.25,-5
450,0.0,-5.0,-20.0,-4.0,-18.0,2.0,6.0,0.0,44.0,0.0,0.0,0
